/home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/1_and_2.fasta /home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/n_rosa_genomic.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
2477548	2480903	14636	17980	3356	3345	88.14	2710928	73169	0.12	4.57	2	NZ_BCZE01000016.1
2481028	2494284	18105	31395	13257	13291	90.78	2710928	73169	0.49	18.16	2	NZ_BCZE01000016.1
2494280	2499973	17582	11888	5694	5695	89.74	2710928	102054	0.21	5.58	2	NZ_BCZE01000027.1
2502987	2508356	5366	3	5370	5364	89.21	2710928	26322	0.20	20.38	2	NZ_BCZE01000090.1
2508339	2511107	1	2769	2769	2769	90.95	2710928	31587	0.10	8.77	2	NZ_BCZE01000081.1
2512963	2515555	2784	5378	2593	2595	90.20	2710928	31587	0.10	8.22	2	NZ_BCZE01000081.1
2517294	2519885	5422	8014	2592	2593	91.42	2710928	31587	0.10	8.21	2	NZ_BCZE01000081.1
2520776	2523274	8490	10976	2499	2487	92.01	2710928	31587	0.09	7.87	2	NZ_BCZE01000081.1
2523781	2525330	112949	111401	1550	1549	87.77	2710928	357524	0.06	0.43	2	NZ_BCZE01000001.1
2530383	2532698	44481	46861	2316	2381	86.12	2710928	46862	0.09	5.08	2	NZ_BCZE01000064.1
2532659	2542036	9421	34	9378	9388	90.69	2710928	9421	0.35	99.65	2	NZ_BCZE01000134.1
2542529	2545162	47401	44765	2634	2637	90.61	2710928	48307	0.10	5.46	2	NZ_BCZE01000062.1
2545292	2546579	38654	37370	1288	1285	88.28	2710928	76041	0.05	1.69	2	NZ_BCZE01000017.1
2548012	2549577	155261	153697	1566	1565	92.47	2710928	204838	0.06	0.76	2	NZ_BCZE01000009.1
2566233	2570421	125484	121297	4189	4188	88.03	2710928	357524	0.15	1.17	2	NZ_BCZE01000001.1
2571443	2573023	37941	39521	1581	1581	83.25	2710928	115042	0.06	1.37	2	NZ_BCZE01000020.1
2575674	2577663	51676	49672	1990	2005	90.20	2710928	95616	0.07	2.10	2	NZ_BCZE01000015.1
2582030	2587899	2	5880	5870	5879	89.94	2710928	21647	0.22	27.16	2	NZ_BCZE01000104.1
2589513	2592364	12055	14906	2852	2852	88.68	2710928	21647	0.11	13.18	2	NZ_BCZE01000104.1
2592691	2596105	60889	64334	3415	3446	84.94	2710928	115042	0.13	3.00	2	NZ_BCZE01000020.1
2596130	2603187	32576	39647	7058	7072	90.91	2710928	46862	0.26	15.09	2	NZ_BCZE01000064.1
2603316	2607845	39777	44285	4530	4509	88.18	2710928	46862	0.17	9.62	2	NZ_BCZE01000064.1
2610311	2612097	1055	2841	1787	1787	89.60	2710928	7977	0.07	22.40	2	NZ_BCZE01000141.1
2613083	2615493	233548	235960	2411	2413	90.81	2710928	357524	0.09	0.67	2	NZ_BCZE01000001.1
2617452	2624011	66871	60329	6560	6543	86.93	2710928	357524	0.24	1.83	2	NZ_BCZE01000001.1
2640954	2645863	50514	45679	4910	4836	88.03	2710928	99629	0.18	4.85	2	NZ_BCZE01000029.1
2679097	2681785	1211	3908	2689	2698	84.25	2710928	56054	0.10	4.81	2	NZ_BCZE01000056.1
2679099	2682253	62415	65566	3155	3152	90.42	2710928	76041	0.12	4.15	2	NZ_BCZE01000017.1
2688057	2689249	9834	8642	1193	1193	85.92	2710928	29198	0.04	4.09	2	NZ_BCZE01000084.1
2689638	2692899	21900	18670	3262	3231	87.39	2710928	21901	0.12	14.75	2	NZ_BCZE01000103.1
2693004	2697545	18565	14024	4542	4542	88.84	2710928	21901	0.17	20.74	2	NZ_BCZE01000103.1
2698219	2701087	13724	10853	2869	2872	89.54	2710928	21901	0.11	13.11	2	NZ_BCZE01000103.1
2701259	2702855	10723	9120	1597	1604	83.22	2710928	21901	0.06	7.32	2	NZ_BCZE01000103.1
